#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
breathtaking		deslumbrante	deslumbrante	dɨʒlũˈbɾɐ̃tɨ	deʒlũˈbɾɐ̃tʃi	adj	Extremamente belo ou impressionante.		breathtaking	/ˈbɹɛθˌteɪkɪŋ/	/ˈbreθteɪkɪŋ/	adj	"Extremely beautiful or impressive. With ""B"""	The views from our hotel room were breathtaking .	impresionante						à couper le souffle						atemberaubend						espectacular						mozzafiato												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
chill out		relaxar-se	relaxar-se	ʁɨlɐˈʃaɾsɨ	ʁelaˈʃaʁsi	v	Descontrair e deixar de sentir-se stressado ou ansioso.		chill out	/ˈtʃɪl ˈaʊt/	/tʃɪl aʊt/	pv	[Inf.] To relax and stop feeling stressed or anxious. 2 words.	You’ve been working too much. You need to chill out now.	relajarse						se détendre						entspannen-se						relaxar-se						rilassarsi												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism My_Mess::Multi Voc::Travel Voc::Travel::EN-Travel
cuisine		cozinha	a cozinha	ɐ kuˈziɲɐ	a koˈziɲɐ	sf	Estilo ou método de culinária, especialmente característico de um país ou região.		cuisine	/kwɪˈzin/	/kwɪˈziːn/	n	A style or method of cooking, especially characteristic of a particular country or region.	I love Italian cuisine , especially the fresh pasta dishes.	cocina						cuisine						Küche						cuina						cucina												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
dull (adj)		monótono	monótono, monótona	muˈnɔtunu | muˈnɔtunɐ	moˈnɔtunu | moˈnɔtunɐ	adj	Não interessante ou excitante; aborrecido.		dull	/ˈdəl/	/dʌl/	adj	"Not interesting or exciting; boring. Short word, with ""d"""	The museum is pretty dull , but the café is good.	aburrido						ennuyeux						langweilig						monòton						monotono												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
extend (prolong)		estender	estender	ʃtẽˈdeɾ	istẽˈdeʁ	v	Prolongar a duração ou aumentar o tamanho de algo.		extend	/ɪkˈstɛnd/	/ɪkˈstend/	v	To make something longer in duration or size.	There were so many things to visit that we decided to extend our trip.	alargar						étendre						verlängern						estendre						estendere												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
get away from it all		desligar-se de tudo	desligar-se de tudo	dɨʒliˈɡaɾsɨ dɨ ˈtudu	deʒliˈɡaʁsi dʒi ˈtudu	vp	Fazer uma pausa do stress e das responsabilidades do dia a dia.		get away from it all	/ˈɡɛt əˈweɪ fɹəm ɪt ˈɔl/	/get əˈweɪ frəm ɪt ɔːl/	idiom	"To take a break from daily stress and responsibilities. ""G..... ....... ...... ...... ........"""	It’s been a crazy time at the office. I need to book a holiday and get away from it all .	desconectar de todo						déconnecter de tout						alles hinter sich lassen						desconnectar-se de tot						staccarsi da tutto												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
go backpacking		mochilar	mochilar	muʃiˈlaɾ	moʃiˈlaʁ	v	Viajar com uma mochila, geralmente com um orçamento limitado.		go backpacking	/ˈɡoʊ ˈbækˌpækɪŋ/	/ɡəʊ ˈbækpækɪŋ/	v	To travel with a backpack, often on a budget.	They went backpacking in Argentina last year.	viajar de mochilero						faire du backpacking						backpacken						anar de motxilla						fare zaino in spalla												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
go camping		acampar	acampar	ɐkɐ̃ˈpaɾ	akɐ̃ˈpaʁ	v	Ficar ao ar livre numa tenda ou caravana para recreação.		go camping	/ˈɡoʊ ˈkʰæmpɪŋ/	/gəʊ ˈkæmpɪŋ/	v	To stay outdoors in a tent or caravan for recreation.	Have you decided to go camping this year?	ir de acampada						faire du camping						zum Campen gehen						acampar						andare in campeggio												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
go on holiday		ir de férias	ir de férias	ˈiɾ dɨ ˈfɛɾiɐʃ	ˈiʁ dʒi ˈfɛɾias	vp	Viajar ou tirar um tempo livre para relaxar.		go on holiday	/ˈɡoʊ ˈɔn ˈhɑləˌdeɪ/	/gəʊ ɒn ˈhɒlədeɪ/	v	To travel or take time off for relaxation. To ....... ....... .........	When are you going to go on holiday ? Is it next week?	irse de vacaciones						partir en vacances						in den Urlaub fahren						anar de vacances						andare in vacanza												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism My_Mess::Multi Voc::Travel Voc::Travel::EN-Travel
hit the shops 		lançar-se ao mercado	lançar-se ao mercado	lɐ̃ˈsaɾsɨ ɐu mɨɾˈkadu	lɐ̃ˈsaʁsi au meʁˈkadu	vp	Ir às compras, especialmente quando novos produtos são lançados.		hit the shops	/ˈhɪt ðə ˈʃɑps/	/hɪt ðə ʃɒps/	idiom	To go shopping, especially when new products are released.	My new book hits the shops tomorrow. I’m so nervous.	salir a la venta						sortir en magasin						auf den Markt kommen						sortir a la venda						uscire nei negozi												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
iconic		icónico, icónica	icónico, icónica	iˈkɔniku | iˈkɔnikɐ	iˈkɔniku | iˈkɔnikɐ	adj m, adj f	Muito famoso e representativo de um lugar ou coisa.		iconic	/aɪˈkʰɑnɪk/	/aɪˈkɒnɪk/	adj	Very famous and representative of a place or thing.	"The Leaning Tower of Pisa is one of Italy&amp;#x27;s most iconic sights."	icónico						iconique						ikonisch						icònic						iconico												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism My_Mess::Multi Voc::Travel Voc::Travel::EN-Travel
imposing (adj)		imponente	imponente	ĩpuˈnẽtɨ	ĩpoˈnẽtʃi	adj	Grande e impressionante na aparência.		imposing	/ɪmˈpʰoʊzɪŋ/	/ɪmˈpəʊzɪŋ/	adj	"Grand and impressive in appearance. With ""I"""	The enormous statue at the entrance to the palace is very imposing.	imponente						imposant						imposant						imponent						imponente												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
impressive		impressionante	impressionante	ĩpɾɨsiuˈnɐ̃tɨ	ĩpɾesioˈnɐ̃tʃi	adj	Que causa forte impacto devido à beleza, habilidade ou tamanho.		impressive	/ɪmˈpɹɛsɪv/	/ɪmˈpresɪv/	adj	"Making a strong impact due to beauty, skill, or size. With ""I"""	The view is really impressive – you should go and have a look.	impresionante						impressionnant						beeindruckend						impressionant						impressionante												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
leisurely (relaxed)		descontraído, descontraída	descontraído, descontraída	dɨʃkõtɾɐˈidu | dɨʃkõtɾɐˈidɐ	deskõtɾaˈidu | deskõtɾaˈidɐ	adj m, adj f	Lento e relaxado, sem pressa.		leisurely	/ˈliʒə˞li/	/ˈleʒəli/	adj	"Slow and relaxed, without hurry. With ""L"""	We took a leisurely stroll along the beach.	sin prisas						décontracté						entspannt						relaxat						rilassato												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism My_Mess::Multi Voc::Travel Voc::Travel::EN-Travel
lively (travel)		animado	animado, animada	ɐniˈmadu | ɐniˈmadɐ	ɐniˈmadu | ɐniˈmadɐ	adj	Cheio de energia, atividade e entusiasmo.&nbsp;		lively	/ˈlaɪvli/	/ˈlaɪvli/	adj	"Full of energy, activity, and excitement. With ""L"""	It’s a really lively area at night.	animado						animé						lebendig						animat						vivace												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
off the beaten track		fora do comum	fora do comum	ˈfɔɾɐ du kuˈmũ	ˈfɔɾɐ du koˈmũ	exp	Num lugar remoto ou menos conhecido.		off the beaten track	/ˈɔf ðə ˈbitn̩ ˈtɹæk/	/ɒf ðə ˈbiːtn træk/	long exp	"In a remote or less-known place. "" O...... ...... ......... ..........."""	We found a tiny café in the backstreets of Venice, right off the beaten track .	apartado						hors des sentiers battus						abseits der Touristenpfade						fora de ruta						fuori dai percorsi turistici												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
overcrowded		superlotado	superlotado, superlotada	supɨɾluˈtadu | supɨɾluˈtadɐ	supeʁloˈtadu | supeʁloˈtadɐ	adj	Excessivamente cheio de pessoas ou coisas.		overcrowded	/ˌoʊvə˞ˈkɹaʊdəd/	/əʊvəˈkraʊdɪd/	adj	Too full of people or things.	The hotel pool is always overcrowded .	abarrotado						surpeuplé						überfüllt						saturat						sovraffollato												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
overrated		sobrevalorizado	sobrevalorizado, sobrevalorizada	subɾɨvɐluɾiˈzadu | subɾɨvɐluɾiˈzadɐ	sobɾevaloɾiˈzadu | sobɾevaloɾiˈzadɐ	adj	Não tão bom quanto as pessoas dizem.		overrated	/ˈoʊvə˞ˌɹeɪtəd/	/əʊvəˈreɪtɪd/	adj	Not as good as people say it is.	I think that restaurant is overrated . It’s not as good as people say.	sobrevalorado						surfait						überbewertet						sobrevalorat						sopravvalutato												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
picturesque		pitoresco	pitoresco, pitoresca	pituˈɾɛʃku | pituˈɾɛʃkɐ	pitoˈɾɛsku | pitoˈɾɛskɐ	adj	Atrativo de uma forma antiga ou encantadora.		picturesque	/ˌpɪktʃə˞ˈɹɛsk/	/pɪktʃəˈresk/	adj	"Attractive in an old-fashioned or charming way. With ""P"""	We went to a very picturesque little fishing village yesterday.	pintoresco						pittoresque						malerisch						pintoresc						pittoresco												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
postpone		adiar	adiar	ɐdiˈaɾ	adʒiˈaʁ	v	Atrasar um evento ou ação para um momento posterior.		postpone	/ˌpoʊstˈpʰoʊn/	/pəˈspəʊn/	v	"To delay an event or action to a later time. With ""P"", one word."	My mum wasn’t feeling well so we decided to postpone the trip.	aplazar						reporter						verschieben						ajornar						rinviare												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
pricey		caro, cara	caro, cara	ˈkaɾu | ˈkaɾɐ	ˈkaɾu | ˈkaɾɐ	adj	Caro ou a custar mais do que o esperado.		pricey	/ˈpɹaɪsi/	/ˈpraɪsi/	adj	Expensive or costing more than expected.	The hotel breakfast was a bit pricey , but it was worth it.	caro						cher						teuer						car						carissimo												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
put off		adiar	adiar	ɐdiˈaɾ	adʒiˈaʁ	v	Atrasar algo ou mudar um evento para um momento posterior.		put off	/ˈpʰʊt ˈɔf/	/ˌpʊt ˈɒf/	v	To delay doing something or move an event to a later time.	We had to put off our trip to India because of extreme weather conditions.	posponer						repousser						aufschieben						ajornar						rimandare												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
recharge your batteries		recarregar as baterias	recarregar as baterias	ʁɨkɐʁɨˈɡaɾ ɐʒ bɐtɨˈɾiɐʃ	ʁekaʁeˈɡaʁ aʒ bateˈɾias	exp	Descansar e recuperar energia.		recharge your batteries	/ɹiˈtʃɑrdʒ jə˞ ˈbætə˞ɹiz/	/riːˈtʃɑːdʒ jɔː ˈbætriz/	idiom	"To rest and regain energy. 3 words, with ""R"""	A week’s holiday is all I need to recharge my batteries.	cargar pilas						recharger ses batteries						die Batterien aufladen						recarregar les bateries						ricaricare le batterie												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
reschedule		reprogramar	reprogramar	ʁɨpɾuɡɾɐˈmaɾ	ʁepɾoɡɾɐˈmaʁ	v	Mudar a hora ou a data de um evento.		reschedule	/ɹiˈskɛˌdʒul/	/riːˈʃedjuːl/	v	"To change the time or date of an event. With ""R"""	We’ll have to reschedule the meeting.	cambiar la fecha/hora						reprogrammer						neu planen						reprogramar						riprogrammare												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
run-down		degradado	degradado, degradada	dɨɡɾɐˈdadu | dɨɡɾɐˈdadɐ	deɡɾaˈdadu | deɡɾaˈdadɐ	adj	Em mau estado devido a negligência ou idade.		run-down	/ˈɹənˈdaʊn/	/rʌn ˈdaʊn/	adj	"In poor condition due to neglect or age. With ""R"""	The main square is quite smart, but the buildings behind are very run-down .	(estar) destartalado						délabré						heruntergekommen						degradat						fatiscente												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
sample the local cuisine		provar a cozinha local	provar a cozinha local	pɾuˈvaɾ ɐ kuˈziɲɐ luˈkaɫ	pɾoˈvaʁ a koˈziɲɐ loˈkaw	exp	Experimentar a comida tradicional de uma região ou país.		sample the local cuisine	/ˈsæmpəl ðə ˈloʊkəl kwɪˈzin/	/ˈsɑːmpl ðə ˈləʊkl kwɪˈziːn/	long exp	"To try traditional food from a region or country. With ""S"""	When I’m visiting a foreign country, I love to sample the local cuisine .	probar la comida local						déguster la cuisine locale						die lokale Küche probieren						provar la cuina local						assaggiare la cucina locale												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
set off (travel)		partir	partir	pɐɾˈtiɾ	paʁˈtʃiʁ	v	Iniciar uma viagem.		set off	/ˈsɛt ˈɔf/	/set ɒf/	pv	To begin a journey.	I can’t see you tomorrow. I’m setting off on a journey.	partir, salir (de viaje)						partir						aufbrechen						eixir						partire												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
soak up (absorb)		absorver	absorver	ɐbsuɾˈveɾ	absoʁˈveʁ	v	Aproveitar e desfrutar de uma experiência ou ambiente.		soak up	/ˈsoʊk ˈəp/	/səʊk ʌp/	v	"To absorb and enjoy an experience or atmosphere. With ""S"""	It was such a beautiful scene that we sat down to soak up the atmosphere.	sumergirse						absorber						aufsaugen						absorbir						assorbire												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Travel Voc::Travel::EN-Travel
soulless (travel)		sem alma	sem alma	ˈsɐ̃j̃ ˈaɫmɐ	ˈsẽj̃ ˈawmɐ	exp	Que carece de caráter ou calor humano; pouco acolhedor.		soulless	/ˈsoʊlləs/	/ˈsəʊləs/	adj	"Lacking character or warmth; uninviting. With ""S""."	The modern part of the city is mainly soulless office blocks.	sin alma						sans âme						seelenlos						sense ànima						senz'anima												Curso::1C1::April Curso::1C1::File_8 Curso::1C1::Vocabulary-Bank::Travel-and-Tourism Voc::Loss-Pain Voc::Travel Voc::Travel::EN-Travel
